Year,Actor,winner
2010,Hailee Steinfeld,0
2010,Jacki Weaver,0
2011,Octavia Spencer,1
2011,Bérénice Bejo,0
2011,Jessica Chastain,0
2011,Melissa McCarthy,0
2011,Janet McTeer,0
2012,Anne Hathaway,1
2012,Amy Adams,0
2012,Sally Field,0
2012,Helen Hunt,0
2012,Jacki Weaver,0
2013,Lupita Nyong'o,1
2013,Sally Hawkins,0
2013,Jennifer Lawrence,0
2013,Julia Roberts,0
2013,June Squibb,0
2014,Patricia Arquette,1
2014,Laura Dern,0
2014,Keira Knightley,0
2014,Emma Stone,0
2014,Meryl Streep,0
2015,Alicia Vikander,1
2015,Jennifer Jason Leigh,0
2015,Rooney Mara,0
2015,Rachel McAdams,0
2015,Kate Winslet,0
2016,Viola Davis,1
2016,Naomie Harris,0
2016,Nicole Kidman,0
2016,Octavia Spencer,0
2016,Michelle Williams,0
2017,Allison Janney,1
2017,Mary J. Blige,0
2017,Lesley Manville,0
2017,Laurie Metcalf,0
2017,Octavia Spencer,0
2018,Regina King,1
2018,Amy Adams,0
2018,Marina de Tavira,0
2018,Emma Stone,0
1927,Janet Gaynor,1
1927,Louise Dresser,0
1927,Gloria Swanson,0
1928,Mary Pickford,1
1928,Ruth Chatterton,0
1928,Betty Compson,0
1928,Jeanne Eagels,0
1928,Corinne Griffith,0
1928,Bessie Love,0
1929,Norma Shearer,1
1929,Nancy Carroll,0
1929,Ruth Chatterton,0
1929,Greta Garbo,0
1929,Norma Shearer,0
1929,Gloria Swanson,0
1930,Marie Dressler,1
1930,Marlene Dietrich,0
1930,Irene Dunne,0
1930,Ann Harding,0
1930,Norma Shearer,0
1931,Helen Hayes,1
1931,Marie Dressler,0
1931,Lynn Fontanne,0
1932,Katharine Hepburn,1
1932,May Robson,0
1932,Diana Wynyard,0
1934,Claudette Colbert,1
1934,Grace Moore,0
1934,Norma Shearer,0
1934,Bette Davis,0
1935,Bette Davis,1
1935,Elisabeth Bergner,0
1935,Claudette Colbert,0
1935,Katharine Hepburn,0
1935,Miriam Hopkins,0
1935,Merle Oberon,0
1936,Luise Rainer,1
1936,Irene Dunne,0
1936,Gladys George,0
1936,Carole Lombard,0
1936,Norma Shearer,0
1937,Luise Rainer,1
1937,Irene Dunne,0
1937,Greta Garbo,0
1937,Janet Gaynor,0
1937,Barbara Stanwyck,0
1938,Bette Davis,1
1938,Fay Bainter,0
1938,Wendy Hiller,0
1938,Norma Shearer,0
1938,Margaret Sullavan,0
1939,Vivien Leigh,1
1939,Bette Davis,0
1939,Irene Dunne,0
1939,Greta Garbo,0
1939,Greer Garson,0
1940,Ginger Rogers,1
1940,Bette Davis,0
1940,Joan Fontaine,0
1940,Katharine Hepburn,0
1940,Martha Scott,0
1941,Joan Fontaine,1
1941,Bette Davis,0
1941,Olivia de Havilland,0
1941,Greer Garson,0
1941,Barbara Stanwyck,0
1942,Greer Garson,1
1942,Bette Davis,0
1942,Katharine Hepburn,0
1942,Rosalind Russell,0
1942,Teresa Wright,0
1943,Jennifer Jones,1
1943,Jean Arthur,0
1943,Ingrid Bergman,0
1943,Joan Fontaine,0
1943,Greer Garson,0
1944,Ingrid Bergman,1
1944,Claudette Colbert,0
1944,Bette Davis,0
1944,Greer Garson,0
1944,Barbara Stanwyck,0
1945,Joan Crawford,1
1945,Ingrid Bergman,0
1945,Greer Garson,0
1945,Jennifer Jones,0
1945,Gene Tierney,0
1946,Olivia de Havilland,1
1946,Celia Johnson,0
1946,Jennifer Jones,0
1946,Rosalind Russell,0
1946,Jane Wyman,0
1947,Loretta Young,1
1947,Joan Crawford,0
1947,Susan Hayward,0
1947,Dorothy McGuire,0
1947,Rosalind Russell,0
1948,Jane Wyman,1
1948,Ingrid Bergman,0
1948,Olivia de Havilland,0
1948,Irene Dunne,0
1948,Barbara Stanwyck,0
1949,Olivia de Havilland,1
1949,Jeanne Crain,0
1949,Susan Hayward,0
1949,Deborah Kerr,0
1949,Loretta Young,0
1950,Judy Holliday,1
1950,Anne Baxter,0
1950,Bette Davis,0
1950,Eleanor Parker,0
1950,Gloria Swanson,0
1951,Vivien Leigh,1
1951,Katharine Hepburn,0
1951,Eleanor Parker,0
1951,Shelley Winters,0
1951,Jane Wyman,0
1952,Shirley Booth,1
1952,Joan Crawford,0
1952,Bette Davis,0
1952,Julie Harris,0
1952,Susan Hayward,0
1953,Audrey Hepburn,1
1953,Leslie Caron,0
1953,Ava Gardner,0
1953,Deborah Kerr,0
1953,Maggie McNamara,0
1954,Grace Kelly,1
1954,Dorothy Dandridge,0
1954,Judy Garland,0
1954,Audrey Hepburn,0
1954,Jane Wyman,0
1955,Anna Magnani,1
1955,Susan Hayward,0
1955,Katharine Hepburn,0
1955,Jennifer Jones,0
1955,Eleanor Parker,0
1956,Ingrid Bergman,1
1956,Carroll Baker,0
1956,Katharine Hepburn,0
1956,Nancy Kelly,0
1956,Deborah Kerr,0
1957,Joanne Woodward,1
1957,Deborah Kerr,0
1957,Anna Magnani,0
1957,Elizabeth Taylor,0
1957,Lana Turner,0
1958,Susan Hayward,1
1958,Deborah Kerr,0
1958,Shirley MacLaine,0
1958,Rosalind Russell,0
1958,Elizabeth Taylor,0
1959,Simone Signoret,1
1959,Doris Day,0
1959,Audrey Hepburn,0
1959,Katharine Hepburn,0
1959,Elizabeth Taylor,0
1960,Elizabeth Taylor,1
1960,Greer Garson,0
1960,Deborah Kerr,0
1960,Shirley MacLaine,0
1960,Melina Mercouri,0
1961,Sophia Loren,1
1961,Audrey Hepburn,0
1961,Piper Laurie,0
1961,Geraldine Page,0
1961,Natalie Wood,0
1962,Anne Bancroft,1
1962,Bette Davis,0
